first_name,last_name,image_url
Samuel,Jackson,"https://m.media-amazon.com/images/M/MV5BMTQ1NTQwMTYxNl5BMl5BanBnXkFtZTYwMjA1MzY1._V1_UX140_CR0,0,140,209_AL_.jpg"
Robert,Downey Jr.,"https://m.media-amazon.com/images/M/MV5BNzg1MTUyNDYxOF5BMl5BanBnXkFtZTgwNTQ4MTE2MjE@._V1_UX140_CR0,0,140,209_AL_.jpg"
Scarlett,Johansson,"https://m.media-amazon.com/images/M/MV5BMTM3OTUwMDYwNl5BMl5BanBnXkFtZTcwNTUyNzc3Nw@@._V1_UY209_CR16,0,140,209_AL_.jpg"
Chris,Hemsworth,"https://m.media-amazon.com/images/M/MV5BOTU2MTI0NTIyNV5BMl5BanBnXkFtZTcwMTA4Nzc3OA@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Mark,Ruffalo,"https://m.media-amazon.com/images/M/MV5BNWIzZTI1ODUtZTUzMC00NTdiLWFlOTYtZTg4MGZkYmU4YzNlXkEyXkFqcGdeQXVyNTExOTk5Nzg@._V1_UX140_CR0,0,140,209_AL_.jpg"
Chris,Evans,"https://m.media-amazon.com/images/M/MV5BMTU2NTg1OTQzMF5BMl5BanBnXkFtZTcwNjIyMjkyMg@@._V1_UY209_CR4,0,140,209_AL_.jpg"
Benedict,Cumberbatch,"https://bloody-disgusting.com/wp-content/uploads/2016/04/unnamed-2.jpg
Tom,Holland,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRunlLYcduzCf8R3FRgqBh4bHRGoYXyglv8Vg&usqp=CAU
Andrew, Garfield,"https://hips.hearstapps.com/hmg-prod/images/actor-andrew-garfield-enters-the-the-amazing-spiderman-2-news-photo-1641567200.jpg,
Tobey, Maguire,"https://upload.wikimedia.org/wikipedia/en/b/bf/Tobey_Maguire_as_Spider-Man.jpg,
Jeremy,Renner,"https://m.media-amazon.com/images/M/MV5BOTk2NDc2ODgzMF5BMl5BanBnXkFtZTcwMTMzOTQ4Nw@@._V1_UX140_CR0,0,140,209_AL_.jpg"
Brie,Larson,"https://m.media-amazon.com/images/M/MV5BNDE4ZWY1ZTUtYjNhMy00MTQyLWFmMjktNTkyYTFjOGRlNDk0XkEyXkFqcGdeQXVyMTE1MTYxNDAw._V1_UY209_CR13,0,140,209_AL_.jpg"
