title,global_box_office,release_year,synopsis
Thor: Love and Thunder,760928081,2022,
Avengers: Endgame,2799439100,2019,"After the devastating events of Avengers: Infinity War (2018) the universe is in ruins. With the help of remaining allies the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Spider-Man: No Way Home,1921847111,2021,"Peter Parker's secret identity is revealed to the entire world. Desperate for help, Peter turns to Doctor Strange to make the world forget that he is Spider-Man. The spell goes horribly wrong and shatters the multiverse, bringing in monstrous villains that could destroy the world."
Black Panther,1349926083,2018,"After the events of Captain America: Civil War, Prince T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new king. However, T'Challa soon finds that he is challenged for the throne from factions within his own country. When two foes conspire to destroy Wakanda, the hero known as Black Panther must team up with C.I.A. agent Everett K. Ross and members of the Dora Milaje, Wakandan special forces, to prevent Wakanda from being dragged into a world war."
Avengers: Infinity War,2052415039,2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
The Avengers,1520538536,2012,"Loki, the adopted brother of Thor, uses the Tesseract's power to travel from Asgard to Midgard to plot the invasion of Earth and become a king. The director of  S.H.I.E.L.D., Nick Fury, calls together the Avengers -- the Iron Man, Captain America, The Hulk, Thor, Black Widow;and  Hawkeye to save the world from the powerful Loki and the alien invasion."
Avengers: Age of Ultron,1405018048,2015,"After a successful raid on a HYDRA base, Tony Stark and Bruce Banner create an Artificial Intelligence called Ultron, a peacekeeping protocol designed to help the Avengers protect the world from their enemies. But things go wrong when Ultron sees the human race as a threat and sets out to destroy it along with the Avengers. Now the Avengers, Iron Man, Thor, Captain America, the Hulk, Black Widow and Hawkeye, must reassemble to stop Ultron from causing mass destruction. "
Black Panther: Wakanda Forever,859208836,2022,
Captain Marvel,1131416446,2019,
Doctor Strange in the Multiverse of Madness,955775804,2022,
Iron Man 3,1215577205,2013,
Captain America: Civil War,1155046416,2016,
Spider-Man: Far from Home,1131927996,2019,
Guardians of the Galaxy Vol. 2,863756051,2017,
Guardians of the Galaxy Vol. 3,845555777,2023,
Spider-Man: Homecoming,880166924,2017,
Guardians of the Galaxy,773350147,2014,
Iron Man,585796247,2008,
Thor: Ragnarok,855301806,2017,
Iron Man 2,623933331,2010,
Captain America: The Winter Soldier,714421503,2014,
Doctor Strange,677796076,2016,
Shang-Chi and the Legend of the Ten Rings,224543292,2021,
Ant-Man and the Wasp,622674139,2018,
Ant-Man and the Wasp: Quantumania,476071180,2023,
Thor: The Dark World,206362140,2013,
Black Widow,379751655,2021,
Thor,449326618,2011,
Ant-Man,519311965,2015,
Captain America: The First Avenger,370569774,2011,
Spider-Man,825000000,2002, 
Spider-Man 2,789000000,2004, 
Spider-Man 3,895000000,2007,
The Amazing Spider-Man,758000000,2012, 
The Amazing Spider-Man 2,709000000,2014,
The Incredible Hulk,264770996,2008,"After surviving a deadly gamma radiation accident, scientist Bruce Banner must find a cure to a mutation that turns him into a powerful green monster known as the Hulk. The malevolent General Ross and his team are also searching for Banner in order to use his condition as a military weapon."
